Noga Alon,1223,,,,,,,,,,,,,
Athanasios V. Vasilakos,1085,,,,,,,,,,,,,
Schahram Dustdar,1025,,,,,,,,,,,,,
Carole A. Goble,978,,,,,,,,,,,,,
Leonidas J. Guibas,939,,,,,,,,,,,,,
Gerhard Weikum,881,,,,,,,,,,,,,
H. Vincent Poor,873,,,,,,,,,,,,,
Christos Faloutsos,870,,,,,,,,,,,,,
Christos H. Papadimitriou,858,,,,,,,,,,,,,
Steffen Staab,835,,,,,,,,,,,,,
Richard M. Karp,817,,,,,,,,,,,,,
Moshe Y. Vardi,806,,,,,,,,,,,,,
Ian T. Foster,796,,,,,,,,,,,,,
Samuel Madden,772,,,,,,,,,,,,,
Erik D. Demaine,764,,,,,,,,,,,,,
Michael J. Franklin,763,,,,,,,,,,,,,
Yolanda Gil,751,,,,,,,,,,,,,
Stefano Ceri,740,,,,,,,,,,,,,
Elisa Bertino,733,,,,,,,,,,,,,
Michael I. Jordan,731,,,,,,,,,,,,,
Ronald L. Rivest,726,,,,,,,,,,,,,
Jiawei Han 0001,707,,,,,,,,,,,,,
Matthias Jarke,706,,,,,,,,,,,,,
Philip S. Yu,704,,,,,,,,,,,,,
Joseph M. Hellerstein,700,,,,,,,,,,,,,
Jon Crowcroft,698,,,,,,,,,,,,,
Jeffrey D. Ullman,694,,,,,,,,,,,,,
Christopher Ré,693,,,,,,,,,,,,,
Daniel A. Keim,690,,,,,,,,,,,,,
Raghu Ramakrishnan,685,,,,,,,,,,,,,
Wil M. P. van der Aalst,683,,,,,,,,,,,,,
Jack J. Dongarra,677,,,,,,,,,,,,,
Dacheng Tao,676,,,,,,,,,,,,,
Kurt Mehlhorn,673,,,,,,,,,,,,,
David Maier 0001,664,,,,,,,,,,,,,
James A. Hendler,663,,,,,,,,,,,,,
Michael Stonebraker,661,,,,,,,,,,,,,
Thomas S. Huang,661,,,,,,,,,,,,,
Eric Horvitz,655,,,,,,,,,,,,,
H. V. Jagadish,652,,,,,,,,,,,,,
Yannis E. Ioannidis,651,,,,,,,,,,,,,
Ben Shneiderman,650,,,,,,,,,,,,,
Alon Y. Halevy,641,,,,,,,,,,,,,
Ion Stoica,640,,,,,,,,,,,,,
Philip A. Bernstein,636,,,,,,,,,,,,,
Amit P. Sheth,627,,,,,,,,,,,,,
Prabhakar Raghavan,624,,,,,,,,,,,,,
Victor C. M. Leung,624,,,,,,,,,,,,,
David De Roure,622,,,,,,,,,,,,,
Mohsen Guizani,619,,,,,,,,,,,,,
Robert Stevens 0001,617,,,,,,,,,,,,,
Jan Mendling,616,,,,,,,,,,,,,
Joel J. P. C. Rodrigues,612,,,,,,,,,,,,,
Rakesh Agrawal 0001,611,,,,,,,,,,,,,
Rudi Studer,611,,,,,,,,,,,,,
Serge Abiteboul,611,,,,,,,,,,,,,
Albert Y. Zomaya,609,,,,,,,,,,,,,
Óscar Corcho,609,,,,,,,,,,,,,
John Mylopoulos,608,,,,,,,,,,,,,
Hector Garcia-Molina,602,,,,,,,,,,,,,
Christian S. Jensen,597,,,,,,,,,,,,,
Lise Getoor,594,,,,,,,,,,,,,
Rajkumar Buyya,592,,,,,,,,,,,,,
Robert Endre Tarjan,587,,,,,,,,,,,,,
