H. Vincent Poor,1844
Mohamed-Slim Alouini,1459
Philip S. Yu,1379
Lajos Hanzo,1268
Wen Gao 0001,1214
Victor C. M. Leung,1167
Hai Jin 0001,1118
Witold Pedrycz,1072
Thomas S. Huang,1045
Zhu Han,1029
Luca Benini,1012
Dacheng Tao,1009
Elisa Bertino,985
Jiawei Han 0001,974
Leonard Barolli,973
Chin-Chen Chang 0001,931
Georgios B. Giannakis,918
Nassir Navab,918
Luc Van Gool,904
Licheng Jiao,902
Robert Schober,883
Jie Wu 0001,870
Makoto Takizawa 0001,843
Azzedine Boukerche,840
C.-C. Jay Kuo,820
Toshio Fukuda,818
Ajith Abraham,806
Robert W. Heath Jr.,802
Sajal K. Das 0001,782
Wil M. P. van der Aalst,780
Edwin R. Hancock,777
Mohsen Guizani,770
Rama Chellappa,764
Kang G. Shin,760
Xuelong Li,759
Jack J. Dongarra,758
Xuemin Shen,756
Mario Gerla,747
Hans-Peter Seidel,743
Christoph Meinel,736
Kaushik Roy 0001,734
Shuicheng Yan,731
Shrikanth S. Narayanan,730
Michele Zorzi,721
Albert Y. Zomaya,718
Hermann Ney,714
Anil K. Jain 0001,713
Francisco Herrera,712
Krishnendu Chakrabarty,711
Gerhard P. Fettweis,708
Jiannong Cao,706
Yoshua Bengio,706
Rolf Drechsler,698
Mario Piattini,686
Rajkumar Buyya,678
Mahmut T. Kandemir,676
Nadeem Javaid,674
Josef Kittler,673
Massoud Pedram,673
Schahram Dustdar,664
Roland Siegwart,658
Athanasios V. Vasilakos,657
K. J. Ray Liu,655
Alberto L. Sangiovanni-Vincentelli,653
Viktor K. Prasanna,652
Björn E. Ottersten,649
Khaled Ben Letaief,649
Vladik Kreinovich,646
Irith Pomeranz,643
Christos Faloutsos,641
Mihaela van der Schaar,640
Moshe Y. Vardi,640
Oscar Castillo 0001,638
Helmut Krcmar,637
Sudhakar M. Reddy,637
Noga Alon,636
Guanrong Chen,635
Henri Prade,635
Maarten de Rijke,631
Haizhou Li 0001,625
Eitan Altman,623
David Zhang 0001,622
Ralf Steinmetz,622
Erik D. Demaine,621
Francky Catthoor,617
Peng Shi 0001,617
Giuseppe Caire,612
Björn W. Schuller,610
Mohammad S. Obaidat,610
Xin Yao 0001,610
Norman C. Beaulieu,608
Ronald R. Yager,608
Jinde Cao,607
Dusit Niyato,604
Fatos Xhafa,603
Mengjie Zhang,600
Nadia Magnenat-Thalmann,598
Karl Henrik Johansson,596
David Eppstein,592
Shlomo Shamai,591
Dinesh Manocha,590
Yonina C. Eldar,590
Joel J. P. C. Rodrigues,589
Willy Susilo,589
Daniel Rueckert,588
Gerhard Weikum,588
Rui Zhang 0006,585
Micha Sharir,582
Kim-Kwang Raymond Choo,581
Ioannis Pitas,578
Qi Tian 0001,577
Larry S. Davis,573
Xiaodong Wang 0001,572
Aggelos K. Katsaggelos,566
Didier Dubois,565
Leonidas J. Guibas,565
Satoshi Nakamura 0001,565
Jürgen Teich,564
Joseph Y. Halpern,563
Nicholas R. Jennings,560
Svetha Venkatesh,560
Giovanni De Micheli,559
Bart Preneel,556
Sushil Jajodia,551
Wayne Luk,550
Daniela Rus,548
Wolfram Burgard,548
Andrew Zisserman,547
Choong Seon Hong,547
Holger Boche,546
Ian T. Foster,544
Michael I. Jordan,543
Muriel Médard,541
MengChu Zhou,540
Alberto Del Bimbo,539
Pramod K. Varshney,538
Tamer Basar,538
Guang-Zhong Yang,536
Moncef Gabbouj,535
John Mylopoulos,534
Alois Knoll,530
Hsinchun Chen,530
Hussein T. Mouftah,530
Dimitris N. Metaxas,526
Andrzej Cichocki,525
Marc Moonen,525
Filip De Turck,523
Michel Raynal,518
Adel M. Alimi,517
Bernhard Schölkopf,517
Paul G. Spirakis,517
Rodrigo C. de Lamare,517
Zhi-Hua Zhou,517
Gonzalo Navarro,516
David T. Blaauw,515
Michael R. Lyu,514
Taghi M. Khoshgoftaar,512
Vijay Kumar 0001,512
Peter Stone,510
Václav Snásel,510
Ian F. Akyildiz,509
Grzegorz Rozenberg,507
Ying-Chang Liang,507
Piet Demeester,505
Bernhard Rumpe,503
Christian S. Jensen,503
Guihai Chen,503
John H. L. Hansen,503
Victor O. K. Li,501
Xiang-Yang Li 0001,501
Daniel Thalmann,500
Alfred O. Hero III,499
Rüdiger Dillmann,499
Eric P. Xing,496
George K. Karagiannidis,496
Patricia Melin,496
Ekram Hossain,490
Dhabaleswar K. Panda,489
Aboul Ella Hassanien,488
Darwin G. Caldwell,488
David J. Evans 0001,487
Qiang Yang 0001,487
Xinbo Gao,487
Alok N. Choudhary,486
Masayuki Murata,486
Bernard De Baets,484
Vincent K. N. Lau,484
Yi Mu 0001,483
Jason Cong,482
José C. Príncipe,482
Thomas Ertl,482
Petar Popovski,481
Wouter Joosen,481
Shih-Fu Chang,479
Yunhao Liu,479
Thomas A. Henzinger,478
Yonghui Li 0001,478
Chunhua Shen,475
Guy Pujolle,475
Panos M. Pardalos,475
Nikil D. Dutt,474
Kishor S. Trivedi,473
Abdulmotaleb El-Saddik,470
Lawrence Carin,470
Amit P. Sheth,469
Moti Yung,469
Takeo Kanade,469
C. Lee Giles,468
Fumiyuki Adachi,468
Manuela M. Veloso,468
Tharam S. Dillon,468
Jeffrey Xu Yu,467
